City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,278.66,96,98,9.26,TF,1686679480
1,constantia,44.1833,28.65,293.54,76,67,5.17,RO,1686679211
2,becerril,9.7041,-73.2793,307.07,54,81,2.41,CO,1686679481
3,tuburan,6.6439,122.2736,299.48,87,100,1.36,PH,1686679481
4,arkhangel'sk,64.5401,40.5433,285.56,92,94,2.78,RU,1686679481
5,bethel,41.3712,-73.414,297.27,73,100,3.09,US,1686679482
6,grytviken,-54.2811,-36.5092,267.74,81,42,5.02,GS,1686679482
7,ust-nera,64.5667,143.2,281.53,40,98,2.56,RU,1686679483
8,avarua,-21.2078,-159.775,296.18,83,20,4.12,CK,1686679483
9,wailua homesteads,22.0669,-159.378,298.39,91,100,4.12,US,1686679483
10,ketchikan,55.3422,-131.6461,285.14,57,5,6.1,US,1686679484
11,serowe,-22.3833,26.7167,285.63,31,0,2.17,BW,1686679484
12,waiuku,-37.25,174.75,284.63,66,5,1.2,NZ,1686679484
13,edinburgh of the seven seas,-37.0676,-12.3116,288.48,97,100,6.04,SH,1686679381
14,albany,42.6001,-73.9662,295.88,63,94,0.89,US,1686679485
15,la gi,10.6667,107.7833,299.73,88,95,3.52,VN,1686679486
16,praia da vitoria,38.7333,-27.0667,293.9,76,87,4.66,PT,1686679486
17,west island,-12.1568,96.8225,300.14,83,40,8.12,CC,1686679486
18,sao vicente,-23.9631,-46.3919,295.25,26,100,0.89,BR,1686679487
19,gandi,12.9636,5.7434,309.3,31,33,3.78,NG,1686679487
20,taroudant,30.4703,-8.877,298.18,53,2,7.68,MA,1686679488
21,waitangi,-43.9535,-176.5597,283.61,87,98,4.02,NZ,1686679488
22,port alfred,-33.5906,26.891,290.47,60,95,1.79,ZA,1686679217
23,miri,4.4148,114.0089,299.37,86,98,1.72,MY,1686679489
24,tazovsky,67.4667,78.7,275.99,59,23,3.15,RU,1686679313
25,puerto natales,-51.7236,-72.4875,276.94,78,100,0.87,CL,1686679250
26,petropavlovsk-kamchatsky,53.0452,158.6483,284.12,75,18,4.34,RU,1686679280
27,fortuna,40.5982,-124.1573,286.85,92,100,0.0,US,1686679490
28,longyearbyen,78.2186,15.6401,275.06,87,75,8.23,SJ,1686679212
29,blackmans bay,-43.0167,147.3167,280.22,91,87,1.85,AU,1686679491
30,bredasdorp,-34.5322,20.0403,288.52,71,82,10.48,ZA,1686679264
31,ilulissat,69.2167,-51.1,276.16,75,75,2.06,GL,1686679491
32,puerto ayora,-0.7393,-90.3518,303.13,96,85,4.02,EC,1686679492
33,hamilton,39.1834,-84.5333,296.33,54,76,1.79,US,1686679282
34,nova sintra,14.8667,-24.7167,294.99,80,16,6.32,CV,1686679492
35,georgetown,5.4112,100.3354,303.12,79,20,0.0,MY,1686679270
36,pangody,65.85,74.4859,280.59,69,81,3.66,RU,1686679493
37,ebon,4.582,168.6964,301.36,79,68,5.77,MH,1686679493
38,invercargill,-46.4,168.35,278.14,91,56,2.38,NZ,1686679494
39,cabo san lucas,22.8909,-109.9124,305.96,58,0,2.06,MX,1686679494
40,iqaluit,63.7506,-68.5145,277.98,56,100,2.68,CA,1686679495
41,anadyr,64.75,177.4833,277.43,100,100,10.0,RU,1686679495
42,joshimath,30.5667,79.5667,293.28,73,90,0.49,IN,1686679320
43,bundaberg,-24.85,152.35,288.83,99,33,0.89,AU,1686679496
44,le port,-20.9373,55.2919,296.15,91,3,3.01,RE,1686679496
45,dakhla,23.6848,-15.958,295.63,82,1,8.92,EH,1686679390
46,isafjordur,66.0755,-23.124,289.17,41,20,5.14,IS,1686679497
47,castillos,-34.1667,-53.8333,286.76,49,12,3.41,UY,1686679497
48,enewetak,11.3474,162.3373,300.77,81,93,8.25,MH,1686679497
49,ribeira grande,38.5167,-28.7,293.58,94,40,5.36,PT,1686679499
50,changping,40.2186,116.2197,295.95,44,46,1.22,CN,1686679500
51,ingeniero jacobacci,-41.3427,-69.5448,280.3,38,72,1.38,AR,1686679500
52,santa cruz,-17.8,-63.1667,285.52,51,100,6.55,BO,1686679230
53,darnah,32.767,22.6367,295.08,85,35,6.26,LY,1686679501
54,ushuaia,-54.8,-68.3,275.75,82,32,2.23,AR,1686679253
55,rio grande,-32.035,-52.0986,286.89,61,100,4.14,BR,1686679352
56,guerrero negro,27.9769,-114.0611,293.44,65,30,8.35,MX,1686679445
57,hotan,37.0997,79.9269,302.16,13,59,2.28,CN,1686679502
58,karratha,-20.7377,116.8463,293.9,43,51,3.31,AU,1686679502
59,geraldton,-28.7667,114.6,282.38,87,3,5.14,AU,1686679503
60,vorgashor,67.5833,63.95,283.04,92,89,5.87,RU,1686679503
61,hawaiian paradise park,19.5933,-154.9731,297.88,93,20,3.09,US,1686679504
62,yellowknife,62.456,-114.3525,286.47,58,69,5.84,CA,1686679219
63,luderitz,-26.6481,15.1594,286.92,77,0,6.65,NA,1686679277
64,iskateley,67.6803,53.1512,281.95,63,99,5.79,RU,1686679505
65,adamstown,-25.066,-130.1015,294.08,62,0,1.46,PN,1686679505
66,port douglas,-16.4833,145.4667,294.46,86,41,1.99,AU,1686679505
67,susuman,62.7833,148.1667,276.43,86,100,1.49,RU,1686679506
